token_tikuna,token_oral,token_pos,token_spa,dic_entry,example,example_tikuna,example_spanish
ínanachaxu ,(i¹na²na³chax³u³),v.t.,"['pintar ', 'encementar']",ínanachaxu (i¹na²na³chax³u³) v.t.1.  pintar Cuáü̃ rü ínanachaxu yanapata erü namaxã nataxechaü̃. Juan está    pintando su casa porque quiere  venderla.2.  encementar,Cuáü̃ rü ínanachaxu yanapata erü namaxã nataxechaü̃. Juan está    pintando su casa porque quiere  venderla.2.,Cuáü̃ rü ínanachaxu yanapata erü namaxã nataxechaü̃.,Juan está    pintando su casa porque quiere  venderla.2.
ínanachexechi ,(i¹na²na³chex⁴e²chi²),v.t., rebajar ,ínanachexechi (i¹na²na³chex⁴e²chi²) v.t. rebajar (con machete)  Taramaxã ínanachexechi ya naxemü erü nangau. El remo se rebaja con  machete porque está podrido.,Taramaxã ínanachexechi ya naxemü erü nangau. El remo se rebaja con  machete porque está podrido.,Taramaxã ínanachexechi ya naxemü erü nangau.,El remo se rebaja con  machete porque está podrido.
inanachixẽẽ ,(i⁴na²na³chix²ẽ²ẽ³),v.t., poner ,"inanachixẽẽ (i⁴na²na³chix²ẽ²ẽ³) v.t. poner (en posición vertical),  hacer parar Ngẽma norü ngúexẽẽruxü̃ rüinanachixẽẽ erü naégacax ínaca. El  maestro los hizo parar para preguntarles su nombre.",Ngẽma norü ngúexẽẽruxü̃ rüinanachixẽẽ erü naégacax ínaca. El  maestro los hizo parar para preguntarles su nombre.,Ngẽma norü ngúexẽẽruxü̃ rüinanachixẽẽ erü naégacax ínaca.,El  maestro los hizo parar para preguntarles su nombre.
ínanachoxü̃xẽẽ ,(i¹na²na³chox²ü̃x⁵ẽ²ẽ³),v.t., obligar a salir ,ínanachoxü̃xẽẽ (i¹na²na³chox²ü̃x⁵ẽ²ẽ³) v.t. obligar a salir (complemento plural)Marü nangeãcu ya yima ĩane ̃erü  norü ãẽx̱ gacü ínanachoxüxẽẽ ga guxü̃ma. El pueblo está despoblado  porque su jefe obligó a todos a salir de  allí.,Marü nangeãcu ya yima ĩane ̃erü  norü ãẽx̱ gacü ínanachoxüxẽẽ ga guxü̃ma. El pueblo está despoblado  porque su jefe obligó a todos a salir de  allí.,Marü nangeãcu ya yima ĩane ̃erü  norü ãẽx̱ gacü ínanachoxüxẽẽ ga guxü̃ma.,El pueblo está despoblado  porque su jefe obligó a todos a salir de  allí.
ínanachuxna ,(i¹na²na³chux²na²),v.t., destripar ,ínanachuxna (i¹na²na³chux²na²) v.t. destripar Mamá ínanachuxna i  choxni. Mi mamá destripa el pescado.,Mamá ínanachuxna i  choxni. Mi mamá destripa el pescado.,Mamá ínanachuxna i  choxni.,Mi mamá destripa el pescado.
ínanachü̱ xüe ,(i¹na²na³chü̱ x⁵ü³e²),v.t., bajar ,ínanachü̱ xüe (i¹na²na³chü̱ x⁵ü³e²) v.t. bajar Wüxi ga napanaxãmaxã  ínanachü̱ xüe. Lo bajó con una cuerda.,Wüxi ga napanaxãmaxã  ínanachü̱ xüe. Lo bajó con una cuerda.,Wüxi ga napanaxãmaxã  ínanachü̱ xüe.,Lo bajó con una cuerda.
ínanadaxẽẽ ,(i¹na²na³dax³⁵ẽ²ẽ³),v.t.,"['levantar', 'resucitar ']",ínanadaxẽẽ (i¹na²na³dax³⁵ẽ²ẽ³) v.t.1.  levantar2.  resucitar Tupana ínanadaxẽẽ ga Ngechuchu. dios hizo resucitar a      Jesús.,Tupana ínanadaxẽẽ ga\. Ngechuchu. dios hizo resucitar a\.      Jesús.,,
inanadexẽẽ ,(i⁴na²na³dex²³ẽ²ẽ³),v.t., descongelar,inanadexẽẽ (i⁴na²na³dex²³ẽ²ẽ³) v.t. descongelarYimá buanecü rü inanadexẽẽ i ngẽma gáuxü̃.  El viento descongela el hielo.,Yimá buanecü rü inanadexẽẽ i ngẽma gáuxü̃.  El viento descongela el hielo.,Yimá buanecü rü inanadexẽẽ i ngẽma gáuxü̃.,El viento descongela el hielo.
ínanaga ,(i¹na²na³ga⁵),v.t., tragar ,ínanaga (i¹na²na³ga⁵) v.t. tragar (sólidos) Nüma  ínanaga i ngẽma üxüxü̃ i ãpü̱ xüxü̃. Él traga esa medicina en  pastillas.,Nüma  ínanaga i ngẽma üxüxü̃ i ãpü̱ xüxü̃. Él traga esa medicina en  pastillas.,Nüma  ínanaga i ngẽma üxüxü̃ i ãpü̱ xüxü̃.,Él traga esa medicina en  pastillas.
inanagü ,(i⁴na²na³gü⁵),v.t.,"['verter ', 'botar, tirar']","inanagü (i⁴na²na³gü⁵) v.t.1.  verter (cosas secas menudas) Chacu inanagü ga naxnecü. Vertió la    arena del saco.2.  botar, tirar",Chacu inanagü ga naxnecü. Vertió la    arena del saco.2.,Chacu inanagü ga naxnecü.,Vertió la    arena del saco.2.
inanagüxẽẽ ,(i⁴na²na³güx⁵ẽ²ẽ³),v.t.,  desarrollar ,inanagüxẽẽ (i⁴na²na³güx⁵ẽ²ẽ³) v.t.  desarrollar Ngu̱ xẽẽruxü̃ rü  buxü̃gümaxã inanagüxẽẽ i norü ngu̱ xẽẽtae. El profesor desarrolla la  lección con los niños.,Ngu̱ xẽẽruxü̃ rü  buxü̃gümaxã inanagüxẽẽ i norü ngu̱ xẽẽtae. El profesor desarrolla la  lección con los niños.,Ngu̱ xẽẽruxü̃ rü  buxü̃gümaxã inanagüxẽẽ i norü ngu̱ xẽẽtae.,El profesor desarrolla la  lección con los niños.
inanamai̱ x ,(i⁴na²na³mai̱ x̱ ⁵),v.t., exprimir,inanamai̱ x (i⁴na²na³mai̱ x̱ ⁵) v.t. exprimirInanamai̱ x ya naraña erü  nanaxüxchaü̃ i norü axeruxü̃. Exprime la naranja porque quiere hacer  refresco.,Inanamai̱ x ya naraña erü  nanaxüxchaü̃ i norü axeruxü̃. Exprime la naranja porque quiere hacer  refresco.,Inanamai̱ x ya naraña erü  nanaxüxchaü̃ i norü axeruxü̃.,Exprime la naranja porque quiere hacer  refresco.
inanamuãchi ,(i⁴na²na³mu⁴ã²chi²),v.t.," enviar, mandar ","inanamuãchi (i⁴na²na³mu⁴ã²chi²) v.t. enviar, mandar Nüma ya ãẽx̱ gacü  rü inanamuãchitanü i norü churaragü nax  daiwa naxĩxü̃. El oficial manda a sus soldados a la batalla.  Véase nanamu",Nüma ya ãẽx̱ gacü  rü inanamuãchitanü i norü churaragü nax  daiwa naxĩxü̃. El oficial manda a sus soldados a la batalla.,Nüma ya ãẽx̱ gacü  rü inanamuãchitanü i norü churaragü nax  daiwa naxĩxü̃.,El oficial manda a sus soldados a la batalla.
ínanamuxũchi ,(i¹na²na³mux⁴ũ²chi²),v.t.," liberar, sacar ","ínanamuxũchi (i¹na²na³mux⁴ũ²chi²) v.t. liberar, sacar (complemento  singular) Napatawa ínanamuxũchi erü tama napuracüchaü̃. Lo sacó de su  casa porque no quiere trabajar. [compl. pl. ínanamuxü̃]",Napatawa ínanamuxũchi erü tama napuracüchaü̃. Lo sacó de su  casa porque no quiere trabajar. [compl. pl.,Napatawa ínanamuxũchi erü tama napuracüchaü̃.,Lo sacó de su  casa porque no quiere trabajar. [compl. pl.
ínanamuxü̃ ,(i¹na²na³mux²ü⁵),v.t.," liberar, sacar  ","ínanamuxü̃ (i¹na²na³mux²ü⁵) v.t. liberar, sacar  (complemento plural) Nüma yaãẽ̱xgacü rü tá ínanamuxü̃ i poxcuexü̃ erü nangearü chixexü̃ãx̱ gü. El presidente  va a liberar a los presos porque no son culpables. [compl. sing. ínanamuxũchi]",Nüma yaãẽ̱xgacü rü tá ínanamuxü̃ i poxcuexü̃ erü nangearü chixexü̃ãx̱ gü. El presidente  va a liberar a los presos porque no son culpables. [compl. sing.,Nüma yaãẽ̱xgacü rü tá ínanamuxü̃ i poxcuexü̃ erü nangearü chixexü̃ãx̱ gü.,El presidente  va a liberar a los presos porque no son culpables. [compl. sing.
ínananexẽchi ,(i¹na²na³nex⁴ẽ²chi²),v.t.,  destornillar ,ínananexẽchi (i¹na²na³nex⁴ẽ²chi²) v.t.  destornillar Ínananexẽchi i norü  máquinaarü torníyugü. Destornilló los  pernos de su máquina.  Antón. nayanexcuchi,Destornilló los  pernos de su máquina.  Antón.,Destornilló los  pernos de su máquina.,Antón.
ínananexü̃ ,(i¹na²na³nex⁴ü²),v.t.,  descomponer ,ínananexü̃ (i¹na²na³nex⁴ü²) v.t.  descomponer Buxü̃gü ínananexü̃ ga norü papáarü mutúru. Los niños  descompusieron el motor de su papá.,Buxü̃gü ínananexü̃ ga norü papáarü mutúru. Los niños  descompusieron el motor de su papá.,Buxü̃gü ínananexü̃ ga norü papáarü mutúru.,Los niños  descompusieron el motor de su papá.
ínanangaxüchi ,(i¹na²na³ngax⁵ü³chi²),v.t.,  reprender ,ínanangaxüchi (i¹na²na³ngax⁵ü³chi²) v.t.  reprender Nüma rü ínanangaxüchi ga yema norü uanü. Él reprendió a su  enemigo.,Nüma rü ínanangaxüchi ga yema norü uanü. Él reprendió a su  enemigo.,Nüma rü ínanangaxüchi ga yema norü uanü.,Él reprendió a su  enemigo.
ínanangaxüchi ,(i¹na²na³nga̱x⁵ü²chi²),v.t.,  sacarse ,ínanangaxüchi (i¹na²na³nga̱x⁵ü²chi²) v.t.  sacarse (sombrero),,,
ínanangegüétü ,(i¹na²na³nge²gü⁵e¹tü³),v.t., destapar ,ínanangegüétü (i¹na²na³nge²gü⁵e¹tü³) v.t. destapar Nüma rü  ínanangegüétü i norü uimü. Él destapó su masa de yuca.,Nüma rü  ínanangegüétü i norü uimü. Él destapó su masa de yuca.,Nüma rü  ínanangegüétü i norü uimü.,Él destapó su masa de yuca.
ínanangẽx ,(i¹na²na³ngẽx̱ ⁵),v.t., dejar de hacer ,ínanangẽx (i¹na²na³ngẽx̱ ⁵) v.t. dejar de hacer Ínanangẽx ga norü  puracü.  Dejó de hacer su trabajo.,Dejó de hacer su trabajo.,,
ínanangexechi ,(i¹na²na³ngex²e²chi²),v.t., llevar ,"ínanangexechi (i¹na²na³ngex²e²chi²) v.t. llevar (afuera), sacar  Düxetügu ínanangexechi i namachi. Lleva la carne afuera.",Düxetügu ínanangexechi i namachi. Lleva la carne afuera.,Düxetügu ínanangexechi i namachi.,Lleva la carne afuera.
inanangixi ,(i⁴na²na³ngix²i³),v.t., poner ,inanangixi (i⁴na²na³ngix²i³) v.t. poner (leña en el fuego) Inanangixi  i üxü. Pon la leña en el fuego.,Inanangixi  i üxü. Pon la leña en el fuego.,Inanangixi  i üxü.,Pon la leña en el fuego.
ínanangoxochi ,(i¹na²na³ngox²o²chi²),v.t.,  sacar ,ínanangoxochi (i¹na²na³ngox²o²chi²) v.t.  sacar (moviéndolo de un lado a otro) Ínanangoxochi i norü anera erü  puracüwa naxũxchaü̃. Se saca el anillo porque quiere ir a trabajar.,Se saca el anillo porque quiere ir a trabajar.,,
inanangu ,(i⁴na²na³ngu³),v.t., pesar,inanangu (i⁴na²na³ngu³) v.t. pesarTaxepataü̃arü yora rü meama inanangu i chorü ui nax naxcax̱  inataxexü̃cax̱ . El dueño de la tienda pesó bien mi fariña para  comprarla.,Taxepataü̃arü yora rü meama inanangu i chorü ui nax naxcax̱  inataxexü̃cax̱ . El dueño de la tienda pesó bien mi fariña para  comprarla.,Taxepataü̃arü yora rü meama inanangu i chorü ui nax naxcax̱  inataxexü̃cax̱ .,El dueño de la tienda pesó bien mi fariña para  comprarla.
ínananguxẽẽ ,(i⁴na²na³ngux³⁵ẽ²ẽ³),v.t., sumergir ,ínananguxẽẽ (i⁴na²na³ngux³⁵ẽ²ẽ³) v.t. sumergir Nüma rü dexáguinananguxẽẽ ga chorü tara. Él sumergió mi machete en el agua.,Nüma rü dexáguinananguxẽẽ ga chorü tara. Él sumergió mi machete en el agua.,Nüma rü dexáguinananguxẽẽ ga chorü tara.,Él sumergió mi machete en el agua.
ínananguxẽẽ ,(i¹na²na³ngux⁵ẽ²ẽ³),v.t., esperar ,ínananguxẽẽ (i¹na²na³ngux⁵ẽ²ẽ³) v.t. esperar (a otra persona) Ĩax̱ tüwacuxü̃ ínananguxẽẽ Él te espera afuera.,,,
ínananguxuchixẽẽ ,(i¹na²na³ngux³u⁵chix²ẽ²ẽ³),v.t.," liberar, salvar ","ínananguxuchixẽẽ (i¹na²na³ngux³u⁵chix²ẽ²ẽ³) v.t. liberar, salvar (complemento singular) Purichía rü ínananguxuchixẽẽ i wüxi i duü̃xü̃ ipoxcuxü̃ erü tamachirex chixexü̃  naxü. La policía libera a un preso porque no ha hecho mal.  Véase ínanamuxü̃",Purichía rü ínananguxuchixẽẽ i wüxi i duü̃xü̃ ipoxcuxü̃ erü tamachirex chixexü̃  naxü. La policía libera a un preso porque no ha hecho mal.,Purichía rü ínananguxuchixẽẽ i wüxi i duü̃xü̃ ipoxcuxü̃ erü tamachirex chixexü̃  naxü.,La policía libera a un preso porque no ha hecho mal.
ínananguxü̃xẽẽ ,(i¹na²na³ngux³ü̃x⁵ẽ²ẽ³),v.t.,"  liberar, salvar ","ínananguxü̃xẽẽ (i¹na²na³ngux³ü̃x⁵ẽ²ẽ³) v.t.  liberar, salvar (complemento plural) Purichía ínananguxü̃xẽẽ i guxü̃ma    i ngẽma duü̃xü̃gü. La policía ha liberado a toda esa gente. [compl.  sing. ínananguxuchixẽẽ]  Véase ínanamuxü̃",Purichía ínananguxü̃xẽẽ i guxü̃ma    i ngẽma duü̃xü̃gü. La policía ha liberado a toda esa gente. [compl.  sing.,Purichía ínananguxü̃xẽẽ i guxü̃ma    i ngẽma duü̃xü̃gü.,La policía ha liberado a toda esa gente. [compl.  sing.
inananu ,(i⁴na²na³nu²),v.t., poner ,"inananu (i⁴na²na³nu²) v.t. poner (en orden), ordenar (complementoplural) Taxepataü̃wa rü mea inananu i norü ngẽmaxü̃gü. En la tienda se ordena bien la mercadería.  [compl. sing. inanaxǘ ̃]",Taxepataü̃wa rü mea inananu i norü ngẽmaxü̃gü. En la tienda se ordena bien la mercadería.  [compl. sing.,Taxepataü̃wa rü mea inananu i norü ngẽmaxü̃gü.,En la tienda se ordena bien la mercadería.  [compl. sing.
ínananucu ,(i¹na²na³nu²cu²),v.t.," colocar, insertar, instalar ","ínananucu (i¹na²na³nu²cu²) v.t. colocar, insertar, instalar (complementoplural) Dutúru rü inananucu ga taxre ga napütagü. El dentista le colocódos dientes. [compl. sing. ínayaxǘ ̃cuchi]",Dutúru rü inananucu ga taxre ga napütagü. El dentista le colocódos dientes. [compl. sing.,Dutúru rü inananucu ga taxre ga napütagü.,El dentista le colocódos dientes. [compl. sing.
ínananuü̃ ,(i¹na²na³nu²ü⁵),v.t., desembarcar  ,ínananuü̃ (i¹na²na³nu²ü⁵) v.t. desembarcar  (complemento inanimado) Marü ínananuü̃ ya yima ladríyugü ya  Ichituwa wapuru ne nacü. Ya han desembarcado los ladrillos que  vinieron de Iquitos por lancha.,Marü ínananuü̃ ya yima ladríyugü ya  Ichituwa wapuru ne nacü. Ya han desembarcado los ladrillos que  vinieron de Iquitos por lancha.,Marü ínananuü̃ ya yima ladríyugü ya  Ichituwa wapuru ne nacü.,Ya han desembarcado los ladrillos que  vinieron de Iquitos por lancha.
ínananu̱ xẽẽ ,(i¹na²na³nu̱ x⁵ẽ²ẽ³),v.t.,  enredar ,ínananu̱ xẽẽ (i¹na²na³nu̱ x⁵ẽ²ẽ³) v.t.  enredar ¿Texé ínananu̱ xẽẽ i chorü  poxwacuna? ¿Quién ha enredado el hilo de mis anzuelos?,,,
ínananũxü̃xü̃ne ,(i¹na²na³nũx²ü̃x²ü³ne⁵),v.t., sacar ,ínananũxü̃xü̃ne (i¹na²na³nũx²ü̃x²ü³ne⁵)  v.t. sacar (piezas) Ínananũxü̃xü̃ne ya yima mutúru nax namexẽẽãxü̃cax̱ .  Saca las piezas del motor para arreglarlo.,Saca las piezas del motor para arreglarlo.,,
inanaña ,(i⁴na²na³ña⁵),v.t.," tirar, lanzar ","inanaña (i⁴na²na³ña⁵) v.t. tirar, lanzar Caru  rü dexágu inanaña i norü arapóü̃. Carlos lanza el arpón alagua.",Caru  rü dexágu inanaña i norü arapóü̃. Carlos lanza el arpón alagua.,Caru  rü dexágu inanaña i norü arapóü̃.,Carlos lanza el arpón alagua.
inanapa ,(i⁴na²na³pa²),v.t., secar  ,inanapa (i⁴na²na³pa²) v.t. secar  Ngu̱ xetüxü̃gu inanapa i naxchirugü. Seca la ropa en el sol.,Ngu̱ xetüxü̃gu inanapa i naxchirugü. Seca la ropa en el sol.,Ngu̱ xetüxü̃gu inanapa i naxchirugü.,Seca la ropa en el sol.
inanapaamü ,(i⁴na²na³pa⁵a⁵mü⁵),v.t.,  sacudir,inanapaamü (i⁴na²na³pa⁵a⁵mü⁵) v.t.  sacudir,,,
ínanapapetü ,(i¹na²na³pa⁵pe²tü⁵),v.t.,"  cernir, tamizar","ínanapapetü (i¹na²na³pa⁵pe²tü⁵) v.t.  cernir, tamizar",,,
ínanapexẽẽ ,(i¹na²na³pex²³ẽ²ẽ³),v.t.," acostar, poner a dormir ","ínanapexẽẽ (i¹na²na³pex²³ẽ²ẽ³) v.t. acostar, poner a dormir Ana rü  ínanapexẽẽ i naxacü. Ana pone a dormir a su hija.  Véase nanapexẽẽ",Ana rü  ínanapexẽẽ i naxacü. Ana pone a dormir a su hija.,Ana rü  ínanapexẽẽ i naxacü.,Ana pone a dormir a su hija.
ínanapexẽẽ ,(i¹na²na³pex̱ ⁵ẽ²ẽ³),v.t., abollar ,ínanapexẽẽ (i¹na²na³pex̱ ⁵ẽ²ẽ³) v.t. abollar Tauxchaãcü ínanapexẽẽ ya  buetare. La olla se abolla fácilmente.,Tauxchaãcü ínanapexẽẽ ya  buetare. La olla se abolla fácilmente.,Tauxchaãcü ínanapexẽẽ ya  buetare.,La olla se abolla fácilmente.
ínanapi ,(i¹na²na³pi²),v.t.,"['borrar ', 'limpiar, secar ']","ínanapi (i¹na²na³pi²) v.t.1.  borrar (con trapo seco) Ínanapi i ngẽma ore i chixri ümatüxü rü    wenaxarü nanaxümatü. Borra las palabras malescritas y luego vuelvea escribirlas.2.  limpiar, secar (con trapo seco)",Borra las palabras malescritas y luego vuelvea escribirlas.2.,,
ínanapixmex ,(i¹na²na³pix²mex̱ ⁵),v.t.,  secar ,"ínanapixmex (i¹na²na³pix²mex̱ ⁵) v.t.  secar (las manos de otra persona)Nayau̱ xmexguwena rü ínanapixmex i norü buxü̃ i ngẽxguma nachibüchaü̃gu.  Después de lavar las manos de su hijo, él  las seca cuando quiere comer.","Nayau̱ xmexguwena rü ínanapixmex i norü buxü̃ i ngẽxguma nachibüchaü̃gu.  Después de lavar las manos de su hijo, él  las seca cuando quiere comer.",Nayau̱ xmexguwena rü ínanapixmex i norü buxü̃ i ngẽxguma nachibüchaü̃gu.,"Después de lavar las manos de su hijo, él  las seca cuando quiere comer."
ínanapo ,(i¹na²na⁵po²),v.t.," encorvar, doblar","ínanapo (i¹na²na⁵po²) v.t. encorvar, doblarWüxi ya würa rü ínanapo i  ngẽxguma naxüxtü̱ xügu. Un arco se dobla cuando se tiempla la cuerda.",Wüxi ya würa rü ínanapo i  ngẽxguma naxüxtü̱ xügu. Un arco se dobla cuando se tiempla la cuerda.,Wüxi ya würa rü ínanapo i  ngẽxguma naxüxtü̱ xügu.,Un arco se dobla cuando se tiempla la cuerda.
ínanapoxegu ,(i¹na²na³pox²e⁵gu⁵),v.t., cercar ,ínanapoxegu (i¹na²na³pox²e⁵gu⁵) v.t. cercar Nüma rü ínanapoxegu ga  napataaxtüwa. Él cercó el patio de su casa.,Nüma rü ínanapoxegu ga  napataaxtüwa. Él cercó el patio de su casa.,Nüma rü ínanapoxegu ga  napataaxtüwa.,Él cercó el patio de su casa.
ínanapoxü̃ ,(i¹na²na³pox⁴ü̃⁵),v.t.," defender,proteger ","ínanapoxü̃ (i¹na²na³pox⁴ü̃⁵) v.t. defender,proteger Yimá yatü rü ínanapoxü̃ ga namücü ga yexguma  togü yamáxchaxü̃gu. El hombre defendió a su amigo cuando lo atacaron.",Yimá yatü rü ínanapoxü̃ ga namücü ga yexguma  togü yamáxchaxü̃gu. El hombre defendió a su amigo cuando lo atacaron.,Yimá yatü rü ínanapoxü̃ ga namücü ga yexguma  togü yamáxchaxü̃gu.,El hombre defendió a su amigo cuando lo atacaron.
inanapu ,(i⁴na²na³pu⁵),v.t., poner ,inanapu (i⁴na²na³pu⁵) v.t. poner (poste) Naaxtüwa inanapu ga  omüpaweru. Puso el poste de luz en su patio.,Naaxtüwa inanapu ga  omüpaweru. Puso el poste de luz en su patio.,Naaxtüwa inanapu ga  omüpaweru.,Puso el poste de luz en su patio.
ínanatagachi ,(i¹na²na³ta²ga⁵chi⁵),v.t.," botar, echar, arrojar ","ínanatagachi (i¹na²na³ta²ga⁵chi⁵) v.t. botar, echar, arrojar Namawa  ínanatagachi ga naichacüxü. Botaron la rama del camino.",Namawa  ínanatagachi ga naichacüxü. Botaron la rama del camino.,Namawa  ínanatagachi ga naichacüxü.,Botaron la rama del camino.
inanatax ,(i⁴na²na³ta̱x⁵),v.t.," sepultar, enterrar ","inanatax (i⁴na²na³ta̱x⁵) v.t. sepultar, enterrar Tauquegu inanatax ga  norü õxchana. Sepultó a su bebé en el cementerio.",Tauquegu inanatax ga  norü õxchana. Sepultó a su bebé en el cementerio.,Tauquegu inanatax ga  norü õxchana.,Sepultó a su bebé en el cementerio.
ínanatax ,(i¹na²na³ta̱x⁵),v.t.," desechar, botar ","ínanatax (i¹na²na³ta̱x⁵) v.t. desechar, botar (complemento singular)  Ínanatax̱ ga norü tara yerü nibüye. Botó su machete porque se quebró.  [compl. pl. ínanawogü]",Botó su machete porque se quebró.  [compl. pl.,,
ínanataxüchi ,(i¹na²na³ta̱x⁵ü²chi²),v.t.,"['expulsar, excluir ', 'desterrar']","ínanataxüchi (i¹na²na³ta̱x⁵ü²chi²) v.t.1.  expulsar, excluir (complemento singular) Ngu̱xẽẽruxü rü ínanatax̱ üchi ga yema buxü̃ norü ngeãẽgagu. El  profesor expulsó al muchacho de la escuela porque era desobediente.2. desterrar",Ngu̱xẽẽruxü rü ínanatax̱ üchi ga yema buxü̃ norü ngeãẽgagu. El  profesor expulsó al muchacho de la escuela porque era desobediente.2.,Ngu̱xẽẽruxü rü ínanatax̱ üchi ga yema buxü̃ norü ngeãẽgagu.,El  profesor expulsó al muchacho de la escuela porque era desobediente.2.
inanato ,(i⁴na²na³to²),v.t.," plantar, sembrar","inanato (i⁴na²na³to²) v.t. plantar, sembrarNaanewa inanato ya tüxegü norü uiruxü̃.  En la chacra sembramos yuca para hacer fariña.",Naanewa inanato ya tüxegü norü uiruxü̃.  En la chacra sembramos yuca para hacer fariña.,Naanewa inanato ya tüxegü norü uiruxü̃.,En la chacra sembramos yuca para hacer fariña.
ínanatoxẽẽ ,(i¹na²na³tox⁴ẽ²ẽ³),v.t., hacer sentar,ínanatoxẽẽ (i¹na²na³tox⁴ẽ²ẽ³) v.t. hacer sentarNüma rü ínanatoxẽẽ ga  namücü. Él hace sentar a su compañero.,Nüma rü ínanatoxẽẽ ga  namücü. Él hace sentar a su compañero.,Nüma rü ínanatoxẽẽ ga  namücü.,Él hace sentar a su compañero.
ínanatúxuchi ,(i¹na²na³tux¹u⁵chi²),v.t.,jalar ,ínanatúxuchi (i¹na²na³tux¹u⁵chi²) v.t.jalar Ãxmaxü̃wa ínanatúxuchi ga naeneegü.  Sus hermanos lo jalaron del hueco de la tierra.,Sus hermanos lo jalaron del hueco de la tierra.,,
ínanatüxẽẽ ,(i¹na²na³tüx²ẽ²ẽ³),v.t.," hacer  equivocarse, hacer fallar ","ínanatüxẽẽ (i¹na²na³tüx²ẽ²ẽ³) v.t. hacer  equivocarse, hacer fallar Pedru ínanatüxẽẽ i ga yema yatü rü  yemacaxnanachixexẽẽ ga  norü popera. Pedro hizo equivocarse a ese hombre y por eso escribió  mal su documento.",Pedru ínanatüxẽẽ i ga yema yatü rü  yemacaxnanachixexẽẽ ga  norü popera. Pedro hizo equivocarse a ese hombre y por eso escribió  mal su documento.,Pedru ínanatüxẽẽ i ga yema yatü rü  yemacaxnanachixexẽẽ ga  norü popera.,Pedro hizo equivocarse a ese hombre y por eso escribió  mal su documento.
ínanawãĩ̱ xẽ ,(i¹na²na³wãĩ̱ x̱ ⁵ẽ³),v.t.,  amputar ,ínanawãĩ̱ xẽ (i¹na²na³wãĩ̱ x̱ ⁵ẽ³) v.t.  amputar Wĩxguta ínanawãĩ̱ x̱ ẽchacüüga Yúche yerü nüxǘ ̃̃ narüxox ga norü  o̱ xri. A José casi le amputaron el brazo porque se le infectó la  herida.,Wĩxguta ínanawãĩ̱ x̱ ẽchacüüga Yúche yerü nüxǘ ̃̃ narüxox ga norü  o̱ xri. A José casi le amputaron el brazo porque se le infectó la  herida.,Wĩxguta ínanawãĩ̱ x̱ ẽchacüüga Yúche yerü nüxǘ ̃̃ narüxox ga norü  o̱ xri.,A José casi le amputaron el brazo porque se le infectó la  herida.
inanawãxã ,(i⁴na²na⁴wãx³ã³),v.t., abrir ,inanawãxã (i⁴na²na⁴wãx³ã³) v.t. abrir Yexguma ínadaxgu rü inanawãxã ga  tupancaarü ĩãxgü. Cuando se levantaba  abría las puertas de la iglesia.,Yexguma ínadaxgu rü inanawãxã ga  tupancaarü ĩãxgü. Cuando se levantaba  abría las puertas de la iglesia.,Yexguma ínadaxgu rü inanawãxã ga  tupancaarü ĩãxgü.,Cuando se levantaba  abría las puertas de la iglesia.
inanawex ,(i⁴na²na³wex̱ ⁵),v.t.," presentar, mostrar ","inanawex (i⁴na²na³wex̱ ⁵) v.t. presentar, mostrar Nüma ya ãẽxgacü rü  inanawex i  guxü̃ma i naxnegü. El jefe  le mostró todossus armamentos  Véase nüxü̃ nanawex",Nüma ya ãẽxgacü rü  inanawex i  guxü̃ma i naxnegü.,,
inanawicu ,(i⁴na²na³wi¹⁵cu³),v.t.," tajar, trinchar ","inanawicu (i⁴na²na³wi¹⁵cu³) v.t. tajar, trinchar Inanawicu ga worachia  rü yemaacü wüxichigüna nanaxã. Cortó la sandía en tajadas y así dio  las tajadas a cada uno.",Inanawicu ga worachia  rü yemaacü wüxichigüna nanaxã. Cortó la sandía en tajadas y así dio  las tajadas a cada uno.,Inanawicu ga worachia  rü yemaacü wüxichigüna nanaxã.,Cortó la sandía en tajadas y así dio  las tajadas a cada uno.
ínanawogü ,(i¹na²na³wo⁵gü²),v.t.," desechar,  botar ","ínanawogü (i¹na²na³wo⁵gü²) v.t. desechar,  botar (complemento plural) Ngẽma buxü̃gü rü ínanawogü i norü  ĩnücax̱ wax̱ eruü̃gü̃. Los niños botaron sus juguetes. [compl. sing.  ínanatax̱ ]",Ngẽma buxü̃gü rü ínanawogü i norü  ĩnücax̱ wax̱ eruü̃gü̃. Los niños botaron sus juguetes. [compl. sing.,Ngẽma buxü̃gü rü ínanawogü i norü  ĩnücax̱ wax̱ eruü̃gü̃.,Los niños botaron sus juguetes. [compl. sing.
ínanawoxü̃ ,(i¹na²na³wox⁵ü⁵),v.t.,"['expulsar, excluir ', 'desterrar ']","ínanawoxü̃ (i¹na²na³wox⁵ü⁵) v.t.1.  expulsar, excluir (complemento plural)2.  desterrar (complemento plural)  [compl. sing. ínanataxüchi]",,,
inanawü ,(i⁴na²na³wü¹⁵),v.t.," escribir, anotar ","inanawü (i⁴na²na³wü¹⁵) v.t. escribir, anotar (en una lista) Poperaguinanawü i naéga. Escribió su nombre en el papel.  Véase nanaxümatü",Poperaguinanawü i naéga. Escribió su nombre en el papel.,Poperaguinanawü i naéga.,Escribió su nombre en el papel.
